comment_id,event_id,text,llm_stance,is_trash,verified_label,notes
cmt_education011_0001_r14,education_011,"Hoàng An chứ giờ nhân vật đó trường nói ko phải chức này ,ko phải người chức nọ thì ad phải cho họ 1 chức vụ chứ🤣.ai đời lại nói ko liên quan tới nhà trường mà lại chứa như nhà nghỉ vậy nhỉ.",trung lập,False,,
cmt_education_011_0215,education_011,Nhất thầy,tiêu cực,False,,
cmt_education_017_0066,education_017,Đã gọi là kỳ thi PTTH Quốc Gia mà lại chỉ thí điểm 1 số địa phương có đủ cơ sở vật chất? Mình thắc mắc đề thi trên máy và thi viết trên giấy giống nhau hay khác nhau? Cùng ngày hay khác ngày,tiêu cực,False,,
cmt_education011_0002_r26,education_011,Duy Thái z sao ông k rút thẻ nhớ. Hay là đã lưu trữ đám mây.,tiêu cực,False,,
cmt_education_020_0261,education_020,Không thể đoán trước thật,trung lập,False,,
cmt_education020_0010_r19,education_020,Vy Thị Vĩnh chúc mừng b vì có đk đầu tư cho con cái. Chúc mừng b vì có người con thông minh chăm chỉ. Tất cả nhg điều đó chỉ gđ b đc hưởng và b cũng k thể giúp nhg gđ k có đk đầu tư cho con và cũng k giúp đc số rất rất lớn hs chưa thông minh đc như con b. Nên cần khiêm tốn. Đó là điều có lẽ con b hiểu hơn b.,tiêu cực,False,,
cmt_education_020_0118,education_020,Chuyện bất cập vô lý vậy mà cũng nghĩ ra đúng là các vị học cao nhưng thiếu hiểu biết,tiêu cực,False,,
cmt_education_007_0006,education_007,"TH S,TS là học vị không được tham gia trị bệnh chỉ nghiên cứu k.học,giảng dạy,bên mỹ muốn trị bệnh bắt buộc phải nội trú 3,5,7 năm tùy chuyên khoa mới được gọi là (BÁC SỸ)",trung lập,False,,
cmt_education_011_0232,education_011,Bt thế ngày xưa chịu khó học giỏi thì giờ cũg thành thầy ông nội rồi. Cô mô mà không nghe lệnh là cho nghỉ việc kk,tiêu cực,False,,
cmt_education004_0008_r01,education_004,Nguyễn Hoài Thương chuẩn ạ,tiêu cực,False,,
cmt_education011_0002_r01,education_011,The Next Face Vietnam  Vậy chưa rõ dì nữa trong trường mà còn vậy ở ngoài cỡ nào,trung lập,False,,
cmt_education_016_0022,education_016,Mong bộ tăng thêm cho các con thêm nguyện vọng. Phụ huynh rất happy để được đóng tiền tăng cơ hội cho các con.,tích cực,False,,
cmt_education007_0003_r05,education_007,Hoang Ho đúng rồi. Ai nói hay chứ cày k dc thì chỉ lý thuyết suông thôi. Dễ copy paste,trung lập,False,,
cmt_education_017_0240,education_017,chỉ giỏi hành hạ học sinh,tiêu cực,False,,
cmt_education020_0008_r04,education_020,"Một nhân cách khác toàn bọn ngu tiểu phấn hồng tự nhục với nhau, chứ đưa đề Toán này cho bọn lớp 12 Trung Quốc chúng nó khóc như chó ngay.",tiêu cực,False,,
cmt_education007_0003_r11,education_007,Tran Xuan Khoi bác nói chuẩn lê duẩn,tích cực,False,,
cmt_education015_0001_r01,education_015,TIỀN GIẤY VIỆT XƯA tưởng thành lập để đưa được những gì mẽo ấp ủ nhưng ko ngờ ông VN ông đọc vị được hết nên thấy khó gặm đành rút lui thôi kkkk,tiêu cực,False,,
cmt_education011_0009_r03,education_011,Nguyễn Sinh bị chơi r,trung lập,False,,
cmt_education_007_0369,education_007,Rất rõ ràng!,rác,True,,
cmt_education_020_0084,education_020,Cái gì đã qua chỉ có rút kinh nghiệm là xong buồn quá,trung lập,False,,
cmt_education_011_0323,education_011,Thầy này chắc học chung với thầy ông nội wá,tiêu cực,False,,
cmt_education004_0001_r01,education_004,Nhung Giang chấm để bình luận này lên top,tích cực,False,,
cmt_education_017_0551,education_017,"Giống thi kết thúc học phần 1 số trường đại học đó :))
Làm như này thi trắc nghiệm xong bấm nộp bài cái nó hiện 2,45 🌝 về mất tinh thần luôn méo thèm học bài cho ngày mai luôn quá :))))",rác,True,,
cmt_education_018_0180,education_018,Trường K mới xây xong dời đi làm thành cái cty cũng được,trung lập,False,,
cmt_education_039_0080,education_039,Nguyễn Băng :))))))),rác,True,,
cmt_education_011_0021,education_011,Đạo đức !,tiêu cực,False,,
cmt_education004_0003_r01,education_004,Nguyễn Văn Minh An Ninh mạng điều tra ra hết bạn ợi....,trung lập,False,,
cmt_education_017_0464,education_017,Thi máy tính cho dễ chỉnh sửa ạ,ý kiến riêng,False,,
cmt_education_005_0226,education_005,Chắc k học thêm nhà cô 😏😏😏,rác,True,,
cmt_education018_0060_r30,education_018,"Mốt ra bờ ra bụi ở nhé đừng vào mấy chỗ có các ac trường t xây, đm đéo bt thì cứ mõm trường Xây cấp đất thì rộng tận ra ngõ 75 nhưng nhà dân bên đấy tranh chấp với trường, không sổ đỏ bị sang tay quá nhiều nên chưa đòi được. Mẹ thằng đbrr lo học đi chắc gì đã vào được trường tao, mà vào được chắc đéo gì được ra trường",trung lập,False,,
cmt_education_007_0240,education_007,Chỉ ngành Y họ sẽ biết trình độ đẳng cấp,trung lập,False,,
cmt_education009_0001_r21,education_009,"Ngoc Vuhuu vâng mn đag mog trẻ em đc dạy phản biện, đc nêu ý kiến, đc cãi thì nhà đag bắt con ""ngoan ngoãn, nghe lời, cấm cãi lại""",trung lập,False,,
cmt_education009_0020_r01,education_009,"Hòa Hippi chính xác, cái đám bạn cùng lớp mới tệ. Không có tính đồng loại, không biết bảo vệ bạn, không biết rõ đúng sai",tiêu cực,False,,
cmt_education_007_0045,education_007,"Bộ GD đào tạo cả CA, quân đội luôn đi",trung lập,False,,
cmt_education_039_0016,education_039,Thôi em nhập học trường khác luôn r,tiêu cực,False,,
cmt_education018_0004_r10,education_018,CharmingOlive2713 m xem quy mô cái chỗ lừa đảo đó liệu có đủ to đủ tiếng tăm mà đòi giữ lại đó không,trung lập,False,,
cmt_education_017_0622,education_017,Y như thi bằng lái xe 😱,trung lập,False,,
cmt_education_039_0059,education_039,Quoc Kiet sao rồi em,rác,True,,
cmt_education017_0018_r02,education_017,Minh Phan Hoang má bé giờ mới có người nói thi trên máy tính onl =)).,rác,True,,
cmt_education_011_0442,education_011,Có mỗi con C U ko quản lí đc đòi quản lí cả một ngôi trường.,tiêu cực,False,,
cmt_education007_0001_r14,education_007,"Nhân Cách Khác ò, vậy bạn đi học y đi rồi hiểu tại sao người ta đòi ck1, ngang ths và ck2 ngang ts, còn ts giáo viên hạng 3 lại ko bằng, cứ đi học, đi làm đi rồi khắc hiểu",trung lập,False,,
cmt_education_011_0100,education_011,"Đầm đen, Đầm trắng,bún, phở dâng tận mồm,thay đổi món liên tục ,a ri về nhà thấy cơm chắc ngán lắm nhỉ.",tiêu cực,False,,
cmt_education018_0060_r17,education_018,WhiteNarwhal4614 chỉ có hs trường đó mới chửi trường thôi bạn,trung lập,False,,
cmt_education_015_0092,education_015,"Còn thằng FULLBRIGHT nữa , chờ xem co ông lớn nào sau lưng ko .",tiêu cực,False,,
cmt_education_011_0364,education_011,Coi phim heo hơi bị nhiều,tiêu cực,False,,
cmt_education020_0010_r03,education_020,Terry Liem tất cả đều phải đóng học phí cao kkk,tiêu cực,False,,
cmt_education_017_0043,education_017,Hòa Đặng chưa kịp hoảng đã tắt thở,rác,True,,
cmt_education_009_0092,education_009,Bản thân mất dạy còn đòi dạy người khác 😠😠😠,tiêu cực,False,,
cmt_education018_0002_r13,education_018,Hoàng Nam kích cầu đất Vân Canh 🤣🤣🤣,rác,True,,
cmt_education011_0087_r04,education_011,Hồng Hạnh tui chộ mấy bà tự dâng hiến đó chớ kk,tiêu cực,False,,
cmt_education_005_0067,education_005,Đã thiếu rồi thì k đủ dc đâu. Liệu những giáo viên như vậy đứng trên mục giảng có dạy hết khả năng của mình k hay sẽ vì lợi ích cá nhân. Thể giờ mình dạy trò mong trò giỏi mình cũng dc tiếng thơm chứ. Ai đi sửa điểm thấp xuống ông. Thua luôn á,tiêu cực,False,,
cmt_education020_0016_r05,education_020,"Bình Thị Thanh Vũ : hehe, nó lội trên mạng xuống, đố mà nó giải đc ! Ko chừng nó quên copy cạch giải luôn! Chắc luôn!!",tiêu cực,False,,
cmt_education013_0018_r05,education_013,Jerry Jerry ai mà ngưỡng mộ bọn này,rác,True,,
cmt_education_009_0294,education_009,Giáo dục như thế này sao?,tiêu cực,False,,
cmt_education009_0027_r02,education_009,Là do chữ m xấu . Cô chấm điểm chính tả mà 😂😂😂,tích cực,False,,
cmt_education_038_0129,education_038,Ô nói trên bộ nhưng ô có về địa pương cho họ vào công chức k nè nói k à,tiêu cực,False,,
cmt_education_017_0654,education_017,Nộp bài xong nhiều thí sinh không dám gặp cha mẹ hoặc ko dám về nhà,tiêu cực,False,,
cmt_education011_0001_r02,education_011,"hơn chục cô giáo và cả HS mặc đồng phục mà ,cứ cãi, sợ thật, vừa xem bên Tin nóng 24/7",trung lập,False,,
cmt_education_037_0009_r23,education_037,"Liên Phạm Bạn rất thông thái. Phần lớn mọi người comment học bạ tiêu cực, như thể học bạ tốt toàn do thầy cô tiêu cực. Mình chưa trải nghiệm hy vọng chỉ là số ít ngoài đời.",ý kiến riêng,False,,
cmt_education015_0001_r24,education_015,Mai Văn Hưng nghe nói về vấn đề tài chính.hoặc đó cũng là cái cớ.,ý kiến riêng,False,,
cmt_education_037_0002_r01,education_037,Nguyễn Zen đúng luôn. Lúc trước em cũng nghĩ là điểm học bạ ko công bằng nhưng khi con em học đến cấp ba thì em mới thấy là cả 1 quá trình gian nan mới lấy được điểm số cao,tích cực,False,,
cmt_education_017_0403,education_017,Lại bày thêm trò,tiêu cực,False,,
cmt_education020_0034_r01,education_020,Quách Thanh Tùng 1 thg học hùng vương 2013 cho hay t học ptnk nè ielts 7.0 vẫn khó nhé? m tuổi gì đem ra so,tiêu cực,False,,
cmt_education007_0006_r03,education_007,"Nguyễn ThanhLiêm mình hiểu câu chuyện đó. Vậy chuyên khoa cũng là học sau đại học, đi sâu vào chuyên nghành của mình, đặc biệt là phải có cchn trc khi nghĩ đến việc đăng kí thi, học ck1. Ck2 cũng làm nghiên cứu khoa học, bảo vệ đề tài. Nội trú thì càng không cần bàn đến, được coi là giới tinh hoa. Vậy đối với riêng nghành y, lấy cơ sở đâu cho sự chênh lệch quá lớn vậy.( Đó là mình chưa bàn đến chất lượng của đề tài đầu ra )",trung lập,False,,
cmt_education_039_0097_r11,education_039,"Thanh Thanh Nếu sau này Bộ vẫn không đồng ý theo phương thức tuyển sinh của trường thì những bạn đã đk sẽ như thế nào ạ.Trường chỉ nói miệng để trấn an chứ không hề đưa ra công văn gì cả. Và "" Thông báo từ trường không có giá trị pháp lý bằng kết quả trên hệ thống của Bộ""",tiêu cực,False,,
cmt_education_040_0050,education_040,Tuyệt vời,tích cực,False,,
cmt_education020_0002_r07,education_020,Ruby Bảo Ngọc cho làm độc Anh ko đã chóng mặt có mà ko dám làm toán luôn ý ạ,tiêu cực,False,,
cmt_education011_0001_r01,education_011,"The Next Face Vietnam hơn chục cô giáo và cả HS mặc đồng phục mà ,cứ cãi, sợ thật, vừa xem bên Tin nóng 24/7",tiêu cực,False,,
cmt_education_038_0049,education_038,tuyệt bời quá,tích cực,False,,
cmt_education_016_0070,education_016,"Mong Bộ cho thêm nguyện vọng, đặc biệt là nguyện vọng sư phạm ạ.",ý kiến riêng,False,,
cmt_education_007_0104,education_007,giá trị tương đương thậm chí cao hơn còn được,tích cực,False,,
cmt_education015_0001_r02,education_015,Thi Nga Nguyen chuẩn đó bạn giải thể thì địa phương lại được sở hữu công trình nhiều tỉ Mỹ chả dỡ mang về được hihi,tích cực,False,,
cmt_education007_0018_r03,education_007,Nguyễn Minh Thắng Theo hiểu biết của tôi và giải thích của tác giả: Hệ chuyên khoa đi vào ứng dụng điều trị sâu. Hệ thạc sĩ và tiến sĩ thì chuyên sâu nghiên cứu. Nếu tiến sĩ mà đã qua chuyên khoa II thì hoàn hảo hơn!,trung lập,False,,
cmt_education_020_0246,education_020,"Hai hôm nay, sau buổi thi Toán và Tiếng Anh, nhiều thí sinh ""sốc"" vì đề khó hơn nhiều so với đề minh họa mà Bộ đã công bố cuối năm ngoái.

Với đề Toán, thí sinh kêu dạng trắc nghiệm trả lời ngắn quá khó, đề thi dài, có câu không chỉ kiểm tra kiến thức Toán học mà còn thử thách cả kỹ năng đọc hiểu. Một số em khẳng định ít gặp những bài dài với nhiều dữ kiện phức tạp như vậy. Nhiều giáo viên có nhận định tương tự.

Ở môn Tiếng Anh, không ít học sinh đạt IELTS 7.0-7.5 bất ngờ với đề thi. Theo các em, đề dài, nhiều thuật ngữ học thuật, xa vời với học sinh THPT. Có giáo viên trường chuyên cho biết tổ giải đề của trường cũng phải ""toát mồ hôi"" và đánh giá đề thi hợp với thí sinh thi chuyên Anh hơn thi đại trà như tốt nghiệp THPT.

Ông Hà cho biết độ khó đề thi là điểm đã được ban chỉ đạo cấp quốc gia trao đổi, quán triệt trước khi công tác làm đề thi diễn ra.

""Quan điểm chỉ đạo là đây là năm đầu đổi mới nên việc thay đổi trạng thái không đột ngột, trong đó có cả độ khó của đề thi"", ông nói.

Để làm được điều này, Bộ đã ban hành cấu trúc, định dạng, đề tham khảo thi tốt nghiệp THPT, nhằm giúp học sinh quen với cấu trúc, giáo viên có định hướng ôn tập. Bộ cũng tổ chức thử nghiệm đề thi diện rộng ở cả ba miền, qua đó đánh giá khả năng đáp ứng của học sinh, nhằm đưa ra điều chỉnh thích hợp.

Về phản ánh đề Toán, Tiếng Anh có độ khó cao hơn đề minh họa, ông Hà nói ghi nhận để xem xét, sau khi hoàn thành khâu chấm thi.

Theo ông, điểm khác biệt lớn nhất của năm nay là ma trận đề thi được sinh ngẫu nhiên trong quá trình làm, thay vì có từ trước như những năm qua.

""Theo ma trận cũ, giáo viên và học sinh sẽ biết chương này cần phải có câu này, từ đó định hướng cách học và ôn tập. Nhưng năm nay, điều này không còn"", ông cho hay. ""Ma trận sinh ngẫu nhiên nên đề có thể gộp chủ đề này với chủ đề khác, cấp độ câu hỏi cũng không cố định"".

Ông đánh giá cách ra đề này đảm bảo tính khách quan, vì người dạy và học không thể đoán biết từ trước. ""Đây cũng là cách để học sinh đảm bảo học thật, thi thật, không phải học ứng phó, lường trước các khu vực kiến thức quan trọng để tập trung học"", ông Hà nói.

Thứ trưởng Bộ Giáo dục và Đào tạo Phạm Ngọc Thưởng khẳng định sẽ tiếp thu các ý kiến về đề thi để làm tốt hơn trong những năm tiếp theo, trên nguyên tắc đảm bảo quyền lợi của thí sinh.

""Nếu nhiều thí sinh đạt điểm 9-10 nhưng không phải năng lực thật mà đề dễ thì có vui không?. Nếu nhiều điểm 6-7 nhưng là năng lực thật, thí sinh sẽ có bước đi đầy trưởng thành. Khi đó sẽ vui hơn"", ông nói.

Lãnh đạo Bộ cho rằng đề thi đánh giá được năng lực thật của thí sinh là theo đúng tinh thần của đổi mới căn bản giáo dục và đào tạo, chương trình giáo dục phổ thông mới.

""Quá trình dạy và học hướng đến đánh giá năng lực của thí sinh, để thí sinh biết nắm bắt, giải quyết các vấn đề trong cuộc sống"", ông khẳng định.

THEO VNEXPRESS",rác,True,,
cmt_education_038_0067,education_038,Hi vọng là làm đc,tích cực,False,,
cmt_education005_0011_r02,education_005,Gà Luộc Muối Ớt khổ bọn trẻ .,tiêu cực,False,,
cmt_education017_0007_r01,education_017,"Trang Thu đã thi đâu mà hỏi, tận 2 năm nữa, còn thay đổi với hướng dẫn nữa",trung lập,False,,
cmt_education017_0046_r01,education_017,Đồng Thơm mình thắc mắc là hàng ngày tụi nhỏ ngồi viết tay xong tới thi lại xài máy? Nếu xài máy thì phải trang bị máy cho tụi nhỏ học luôn hàng ngày hoặc ít nhất là vài ngày trong tuần rồi thi cử ở trường cũng xài máy luôn mới đúng.,trung lập,False,,
cmt_education_039_0001_r02,education_039,"Bella Le e có tên từ hôm 22/8 r ạ, nhưng đến sáng hôm qua thì k tra được nữa, nhiều bạn cũng bị giống em a",trung lập,False,,
cmt_education011_0004_r11,education_011,Vuong Lv phòng chủ tịch hội đồng quản trị mà,trung lập,False,,
cmt_education_037_0004_r03,education_037,Phuong Trang công bằng dữ chưa. Học tài thi phận người ơi. Bỏ đc thì tốt cho các bé,tích cực,False,,
cmt_education011_0095_r01,education_011,Vũ Tuấn ôg bị dở hoi ah.thế ko là phá vỡ hp nhà ng ta thì là ji,tiêu cực,False,,
cmt_education013_0006_r20,education_013,Ngọc Tú đc biết shark mở hệ thống giáo dục tiếng anh . mở 1 lúc toàn quốc. xong chưa tuyển sinh kịp thì Covid đến toang luôn :D,trung lập,False,,
cmt_education007_0046_r05,education_007,"Thu Hà Bạn đáng tuổi con Chú ấy đó. Nói sai lại nói to, chú ấy 1 cựu bs nội trú y HN , bs giỏi ở nhi tw, tiền bối hơn y hải phòng đó.",trung lập,False,,
cmt_education_011_0069,education_011,Tố cáo làm gì để người xử nặng nhất là người tố cáo =))),tiêu cực,False,,
cmt_education_007_0210,education_007,"Học vị phải chất lượng, đề tài toàn mua thì cũng như không, tiến sĩ phải thật sự tài giỏi có đề tài nghiên cứu hẳn hoi",tích cực,False,,
cmt_education020_0004_r30,education_020,TienTuyen Cao chuẩn,trung lập,False,,
cmt_education020_0004_r04,education_020,Dang Trung con tôi bảo đề rễ mà con làm được hết nhưng không biết có đúng không. Mẹ sốc toàn tập.,trung lập,False,,
cmt_education004_0003_r01,education_004,Mai Vũ năm nay nhiều biến cố với nhiều câu từ kb các táo lên kế hoạch tn đây,trung lập,False,,
cmt_education_037_0054_r03,education_037,"Lien Nguyen. Nếu thật sự giỏi, thí sinh không sợ bất cứ hình thức thi tuyển nào cả.",tích cực,False,,
cmt_education_013_0019,education_013,Xài hết 7000 tỷ ối đmmmm ông lên cung trăng sống à,tiêu cực,False,,
cmt_education_017_0616,education_017,"Tức là trước đây ngày kiểm tra là ngày vào đại lao chờ ngày biết kết quả là ngày xử trảm.
Thì bây giờ vào đại lao là xử trảm luôn 🤭",trung lập,False,,
cmt_education011_0020_r13,education_011,"Hồng Diệu  tại vì bố vợ ô í là ng sáng lập ra và là ng bỏ tiền xây cái trường này , ô í chỉ là bên quản trị thôi",trung lập,False,,
cmt_education015_0001_r20,education_015,"ví von thôi, chứ thực ra các bạn ấy ko học quốc tế nữa cũng ko theo kịp đc ctrinh của các bạn học trường làng cùng trang lứa",trung lập,False,,
cmt_education_017_0093,education_017,Thi xong chưa kịp sợ thì chết m* luôn 🫂,rác,True,,
cmt_education017_0048_r04,education_017,"Hương Tran Còn nếu như bạn nói thì Bộ nên set up là có 2 lựa chọn, 1 là nộp bài và biết kết quả ngay,  2 là thí sinh có thể nộp bài và thoát ra.",ý kiến riêng,False,,
cmt_education_011_0456,education_011,Máy cô kg chịu thầy làm đc j mà cứ trách thầy kg vậy cộng đồng,ý kiến riêng,False,,
cmt_education_009_0208,education_009,"Hình phạt thật kinh khủng, ám ảnh ntn vs e hs kia, bao giờ e mới quên đc. Và những bạn của e, thậm chí là bạn thân tát e những 10 cái chỉ để nghe lời cô. Bạn là tn sao? Huỷ hoại tất cả. Thật bức xúc quá.",tiêu cực,False,,
cmt_education011_0001_r06,education_011,Bình Dương 24H Choénn cả học sinh còn quayy lại luôn mà sợ thật vừa xem ở Báo Xã Hội 24h,tiêu cực,False,,
cmt_education_017_0388,education_017,Thi kiểu này muốn thí sinh Đăng xuất luôn hay sao.,tiêu cực,False,,
cmt_education_016_0054,education_016,Doan Ngoc Yen Nhi tag cho xem v thôi chứ mình k quen nhau nha,rác,True,,
cmt_education_019_0005,education_019,Hỏi HT là rỏ thôi.,rác,True,,
cmt_education011_0004_r41,education_011,"Vuong Lv vua chúa  ngày xưa  cũng đến thê  là cùng,,,,",trung lập,False,,
cmt_education011_0009_r04,education_011,"Ca Nhị làm chuần ai chơi lại,xui thôi chứ cơ quan  ban ngành nào chả có thể loại lưu manh núp danh trí thức nói đạo lý ra rã",trung lập,False,,
cmt_education_007_0005,education_007,"Thạc sĩ có 2 loại Thạc sĩ ứng dụng và Thạc sĩ nghiên cứu, như vậy thì CK1 tương đương ThS ứng dụng. Pháp luật quy định tính tương đương, thiếu học phần nào thì bổ sung cho nhau CK1-ThS rồi công nhận thôi. Có gì đâu mà cãi nhau mãi",trung lập,False,,
cmt_education_037_0307,education_037,đậu trước khi thi thì chả loạn 🥰,tích cực,False,,
cmt_education_017_0138,education_017,Thi phải đồng loạt mới công bằng chứ nơi làm nơi không vậy tội cho những đứa phải làm chuột bạch !!!!,trung lập,False,,
cmt_education018_0014_r05,education_018,"Le Minh Duc SV học ở nơi rừng rú, thành ng rừng, học xong có khi lại muốn quay về rừng ở. Kkk",rác,True,,
cmt_education020_0001_r49,education_020,Người tham gia ẩn danh 107 t là số ít dám học lại chương trình mới đây? BGD cho chọn mà,trung lập,False,,
cmt_education013_0003_r02,education_013,Toan le Minh Nguyễn Ngọc Khả Ngân,rác,True,,
cmt_education007_0006_r03,education_007,"So sánh bằng hay không bằng cũng khập khiễng lắm bạn. Cùng có kinh nghiệm 10 năm, một ông bỏ ra 2 năm học và 8 năm điều trị BN. 1 ông học 4-6 năm và bỏ ra vài năm làm việc lâm sàng. Thì ông nào hơn?",trung lập,False,,
cmt_education_018_0171,education_018,Ngon,trung lập,False,,
cmt_education_017_0457,education_017,t cắn lưỡi chết luôn này 😀,tiêu cực,False,,
cmt_education_020_0191,education_020,Vậy lúc trước mấy người học giả thi giả không hả,ý kiến riêng,False,,
cmt_education_007_0048,education_007,"xếp CKI = thạc sĩ, nội trú = thạc sĩ; suy ra nội trú = chuyên khoa 1",ý kiến riêng,False,,
cmt_education_009_0056,education_009,Kiểu này bạn t chắc t để nó tát lại gấp đôi thôi chứ ra tay sao nổi,trung lập,False,,
cmt_education_017_0206,education_017,Khuyến khích Bộ áp dụng ạ =)) 2k7 thi xong r nên Bộ ra đề khó hơn đi ạ🐧,tích cực,False,,
cmt_education_017_0073,education_017,Tr Ngân Lâm Ái Uyên Thúy Hằng í là trúng năm mình thi tốt nghiệp lun á 🥹🫩,rác,True,,
cmt_education_040_0107,education_040,Lên dành nhiều thời lượng chương trình hơn nữa cho giáo dục công nghệ thông tin  và ngoại ngữ vì nó còn giúp ích cho đời sống kinh tế sau này của trẻ.,tích cực,False,,
cmt_education_007_0206,education_007,Bác là đúng chương trình nào ra chương trình nấy. Mong rằng tiến sĩ phải thật sự chất lượng để cống hiến cho xã hội chứ không phải chỉ là tờ giấy.,tích cực,False,,
cmt_education_039_0071_r01,education_039,Minh Thư đột nhiên đâu ngta 900 điểm đó,tiêu cực,False,,
cmt_education_004_0088,education_004,Ăn cả mồ hôi công sức của sv,tiêu cực,False,,
cmt_education_018_0120,education_018,Thế thì ngon luôn trước mắt thì thông thoáng còn sâu xa thì kinh tế tụt dốc ko kịp phanh .,trung lập,False,,
cmt_education_040_0165_r01,education_040,Trịnh Hải Thùy dự kiến là dự bị. Chính thức lại PT luôn ấy chứ🤣,trung lập,False,,
cmt_education_014_0005,education_014,Đuổi khỏi nghành chuk ô nhục của nghề nhà giáo,tiêu cực,False,,
cmt_education_040_0091,education_040,Trộm vía cấp 3 k học tin mà học công nghệ công nghiệp:),trung lập,False,,
cmt_education011_0015_r02,education_011,Mỹ Phương vâng đúng là như vậy cái đó phụ thuộc vào bản chất và đạo đức của con người nhưng về khách quan thì ít nhất nó không có tình trạng xảy ra ngay tại vị trí làm việc như thế này!,trung lập,False,,
cmt_education_018_0107,education_018,Hợp lí hợp tình,trung lập,False,,
cmt_education007_0026_r02,education_007,"Nhất Đặng xin mời thi ĐHY HN chuyên ngành TMH :))) ck1 1 chọi 3,x Ths 1 chọi 1 😩",trung lập,False,,
cmt_education_011_0332,education_011,"Nhiều ông/anh chồng của các cô giáo, phụ huynh ko dám xem vì mong không phải vợ mình.",tiêu cực,False,,
cmt_education020_0011_r01,education_020,Người tham gia ẩn danh 721  em bạn thì được bao nhiêu điểm/ môn vậy ?,trung lập,False,,
cmt_education_020_0283,education_020,Giờ không biết học giả thi thật hay học thật thi giả =))))))),trung lập,False,,
cmt_education_039_0050_r01,education_039,Tôi Tên Quỳnh mình cũng bị y chang bạn ơi😭 trượt oan,tiêu cực,False,,
cmt_education_020_0115,education_020,"Năm sau rút kinh nghiệm ,2k7 kệ",trung lập,False,,
cmt_education020_0006_r18,education_020,"Tu Bui Thi Thanh khối A và A1 cùng xét tuyển như mọi năm là rất chênh lệnh nhau í, sao ở trên họ cố tình không hiểu điều đấy hay họ không có năng lực để hiểu nhỉ? Chán!",tiêu cực,False,,
cmt_education016_0067_r06,education_016,Thái Thành Những kẻ xài Nick ảo còm vớ vẫn chỉ là loại ngu lâu khó đào tạo!,rác,True,,
cmt_education_007_0194,education_007,So 1 ông thực hành và 1 ông nghiên cứu khập khiễng không. Đánh giá tốt nhất là từ người bệnh chứ không phải người trong ngành. Ngành nào mà chả có đố kỵ ghen ghét. Cãi nhau làm gì,ý kiến riêng,False,,
cmt_education015_0009_r18,education_015,Thanh Sam chung quy lại là nó khác nhau ở cái màu!,rác,True,,
cmt_education_004_0112,education_004,Còn trường nào nữa ko ạ. Cho các thầy tự nguyện,ý kiến riêng,False,,
cmt_education018_0014_r01,education_018,Thinh Phat Le cho hết lên khu hòa lạc tha hồ rộng lại gần đường cao tốc láng hòa lạc.,trung lập,False,,
cmt_education_037_0208,education_037,thi là công bằng nhất rồi ạ huhu,tích cực,False,,
cmt_education020_0003_r03,education_020,"Phạm Thanh Sơn mày có chữ để bình luận đây là nhờ ""bọn nó"" đó. Đồ vô ơn.",tiêu cực,False,,
cmt_education009_0046_r01,education_009,"thời đó chưa có Facebook, Internet có khi còn chưa phát triển mạnh nên có khi chuyện chẳng ai hay....",ý kiến riêng,False,,
cmt_education017_0002_r24,education_017,dễ chết :V,rác,True,,
