comment_id,event_id,text,llm_emotion,is_trash,verified_label,notes
cmt_showbiz020_1973_r01,showbiz_020,Như Quỳnh mang vào túi của quan haha,,True,,
cmt_showbiz_009_0135,showbiz_009,,,True,,
cmt_showbiz_020_2291,showbiz_020,Yến Nhi,,True,,
cmt_showbiz_004_0147,showbiz_004,Cho bọn fan u mê nó mua 😂,Cà khịa,False,,
cmt_showbiz_020_3265,showbiz_020,Thằng viết bài chịu khó ra nghĩa trang nhiều vào. Như này chưa là gì đâu. Cũng BT thôi mà.,Cà khịa,False,,
cmt_showbiz_020_3204,showbiz_020,Ko cần phải phô trương như vậy đâu . Tự mình lại hại mình thôi,Trung lập,False,,
cmt_showbiz_044_0056,showbiz_034,Lớp trẻ chứa muốn lấy v . Vì ko có tiền mua nhà . Thằng mấy chục nhà ở . Sang cả tất tật .  Người có chuyên môn,Phẫn nộ,False,,
cmt_showbiz_033_1940_r100,showbiz_033,Nguyễn Khánh đi vài năm về tiêu k hết tiền,,True,,
cmt_showbiz_033_0001_r92,showbiz_033,"Vũ Văn Hùng thua, dlv trung bình vẫn hay bịp dân kiểu vậy à",Cà khịa,False,,
cmt_showbiz_012_0145,showbiz_012,"Tất cả là ở lòng tham vô đáy. Nếu xây dựng một thế giới có kiểm soát chặt chẽ như Triều Tiên cộng với quan chức liêm khiết theo gương bác Hồ thì không còn tham nhũng tiêu cực , lừa đảo, trộm cắp ,lưu manh,cờ bạc, mãi dâm. V. V",Phẫn nộ,False,,
cmt_showbiz_020_2710,showbiz_020,Nguyen Hang,,True,,
cmt_showbiz_044_2031,showbiz_034,,,True,,
cmt_showbiz023_0068_r28,showbiz_023,"Phạm Duyên trước mắt thấy m phát ngôn ngu rồi đấy . Khôn hơn ai mà chửi ta ngu này nọ 
Có chắc mình đẻ được không mà thấy người khác đẻ thì lại nói mấy lời khó nghe vậy
Coi chừng vô sinh đó má",Trung lập,False,,
cmt_showbiz_011_0197,showbiz_011,Ô virus xấu thật ma nhiều ng bị lừa ta,Cà khịa,False,,
cmt_showbiz_008_0359,showbiz_008,Vừa lòng non,Trung lập,False,,
cmt_showbiz_004_0004,showbiz_004,Ngân 98  ảo tưởng mình là Hoàng Hậu bị còng cả tay & chân mới ghê á,Cà khịa,False,,
cmt_showbiz_044_0239,showbiz_034,Quá khủng. Dân đầu tư phá sản. Cá mập thì giàu không kể hết,Trung lập,False,,
cmt_showbiz032_0008_r02,showbiz_032,"Lank Ng dị khỏi mời đi tr, ai mượn mời đâu",Trung lập,False,,
cmt_showbiz_034_0431_r01,showbiz_034,Trần Hiếu,,True,,
cmt_showbiz011_0045_r05,showbiz_011,Huỳnh Thảo thì nhóm bạn bên nữ chơi chung vơi nhóm bên 16 tỏi mà.  Nên làm rầm rộ lên chạy bài các kiểu để che đi vụ kia đó,Cà khịa,False,,
cmt_showbiz_006_0035,showbiz_006,Kiện bằng cùi chỏ hả. Giờ chứng mình được bé sol k phải là con của thằng tuấn. Hoặc thằng tuấn chú cấp lớn hơn 5tr/1th hay k. Hay là vin vào hai cái thai nhi chưa kịp chào đời kia để kiên con an tội bôi nhọ.,Trung lập,False,,
cmt_showbiz_021_0022,showbiz_021,"Đúng nghề luôn còn gì, kinh doanh sắc đẹp :))",Cà khịa,False,,
cmt_showbiz_020_1325,showbiz_020,nó,,True,,
cmt_showbiz_033_1940_r119,showbiz_033,Thân Nguyễn tin đầy là đăng lại,,True,,
cmt_showbiz_020_0299,showbiz_020,Gio măt niem tin qua troi nguoj can nôi tieng thi mua bán j moi nguoi nhân nen căn nhăc cãn thân khi mua ve sai hoat tieu dùn,Trung lập,False,,
cmt_showbiz_044_1256,showbiz_034,Đến lúc săn cá mập rồi,Trung lập,False,,
cmt_showbiz_012_0032,showbiz_012,Bắt.lại thả như trò đùa cho co việc tôn gạo,Cà khịa,False,,
cmt_showbiz_004_0187,showbiz_004,"Ủa, sao cán bộ tranh hot search vs hình sự vậy, 😂😅",Cà khịa,False,,
cmt_showbiz016_0015_r01,showbiz_016,Lương Xuân Chiến,,True,,
cmt_showbiz_019_0392,showbiz_019,"Đọc comment mấy má, t cười con chim t chè hẻ luôn",Trung lập,False,,
cmt_showbiz_034_0006_r09,showbiz_034,"Đỗ Tuấn Kha ko bắt thì nhà đầu tư ko mất tiền, bắt rồi lấy sạch tiền của nhà đầu tư luôn, ai lấy thì chúng ta đã biết rồi",Phẫn nộ,False,,
cmt_showbiz018_0036_r01,showbiz_018,Thiên Thanh liên quan gì hả thằng ngu?? Nó là ba mẹ m hả?? Não có bị sao ko con trai😏😏,Trung lập,False,,
cmt_showbiz_004_0062,showbiz_004,Loại này đáng lẽ phải xúc từ lâu rồi. Nó tồn tại chỉ làm ô uế xã hội,Phẫn nộ,False,,
cmt_showbiz_043_1564,showbiz_033,Mong con nayd đừng về nữa,Trung lập,False,,
cmt_showbiz_033_1969_r01,showbiz_033,"Hà Thuý bảo sao bà ấy lắm tiền nhờ 
Lấy của dân rồi lại mag đi ủng hộ",Trung lập,False,,
cmt_showbiz008_0031_r04,showbiz_008,"Nguyen Huyen tổ chức họp báo để nói xấu, quân tử vcl",Trung lập,False,,
cmt_showbiz_011_0101,showbiz_011,Nhảm nhí!,Cà khịa,False,,
cmt_showbiz004_0009_r21,showbiz_004,Yan Yuu Lê Táo,,True,,
cmt_showbiz004_0001_r15,showbiz_004,Thanh Sơn Út Đẹt,Phẫn nộ,False,,
cmt_showbiz_020_1991,showbiz_020,Trường Xuân Trường,,True,,
cmt_showbiz015_0010_r08,showbiz_015,Đình Đồng mặt cầy nói rất thông minh,,True,,
cmt_showbiz020_0003_r02,showbiz_020,Hung Yen tôi đã dự đón từ trước,,True,,
cmt_showbiz011_0037_r01,showbiz_011,Nguyễn Thanh Anh Quân JACK phải gọi bằng đt luôn =)),,True,,
cmt_showbiz009_0029_r02,showbiz_009,Nhẫn Nhẫn 130k cho 18 phút live 🤣🤣🤣,,True,,
cmt_showbiz_020_0826,showbiz_020,Me toan bon tao lao bat ma chung no biet co ma loan ak,Trung lập,False,,
cmt_showbiz_020_1757,showbiz_020,Gì tr:)),,True,,
cmt_showbiz018_0001_r25,showbiz_018,"Inside the Box Hồi tụi nó còn quen là mình còn chê luôn ấy
Nói thẳng ra là mình ko thích mấy thằng xộn lào triết lý cho cố vô xong kết quả như 💩💩💩 🤣🤣🤣
Bản thân mình có vợ con, gia đình 3 người vẫn hạnh phúc mặc dù chẳng cần phải nghe lời dăm ba cái triết lý xộn lào trên mạng. Cái gì thực tế thì làm thôi",Cà khịa,False,,
cmt_showbiz_009_0078,showbiz_009,,,True,,
cmt_showbiz_043_1437,showbiz_033,Thì trốn thuế chứ có phải giết người đâu mà làm dữ vậy,Trung lập,False,,
cmt_showbiz_034_0942_r03,showbiz_034,Phạm Thị Bích Yến shark Yến cũng liệu hồn,,True,,
cmt_showbiz_043_0120,showbiz_033,"Địt cụ bay chơ ns thẳng là bay cứ sân si ỉ ôi , cứ chờ ng khác sụp hố sâu mà cười chứ họ có trốn thuế nhà nước họ có đi tò họ cũng đang giúp đc cả hàng nghàn , hàng tỷ ng khi khó khăn . Năg hơn loại bay chưa lm đc cc chi cho xã hội lên rên như tù rên ỉa đây .",Trung lập,False,,
cmt_showbiz_021_0108,showbiz_021,"Cài này là bị gài chắc luôn, chứ nhiều người làm tại sao em bắt có em nó.",Trung lập,False,,
cmt_showbiz011_0046_r05,showbiz_011,"Du Chu nói chuyện là phải nói lan man, sang sảng chứ ko dc nhắc mốc thời gian và chuyện tài chính nhé! Anh nhắc em 🫵",Cà khịa,False,,
cmt_showbiz_009_0087,showbiz_009,Van Anh Nguyen tóm tắt đây,,True,,
cmt_showbiz_020_2716,showbiz_020,Hoàng Ân 😱😱😱,,True,,
cmt_showbiz_030_0034,showbiz_030,Con quỷ dương chứ dương ái mẹ gì😂,Trung lập,False,,
cmt_showbiz023_0005_r04,showbiz_023,Hang Nguyen ba hang xom nha m gan de ma van di danh bong  chuyen day .minh nhin chi biet phuc thoi,Trung lập,False,,
cmt_showbiz019_0002_r22,showbiz_019,"Bí Mật Showbiz  miss giấy nợ k thích ăn rau, chỉ thích ăn bố đường",Cà khịa,False,,
cmt_showbiz_021_0139,showbiz_021,Linh Trần í là,,True,,
cmt_showbiz_044_1942,showbiz_034,"Chủ trại gà đấy, bị nó lùa thì chỉ cao nước chờ ngày lên thớt",Trung lập,False,,
cmt_showbiz004_0001_r08,showbiz_004,Hoang Nguyen Pham đọc để phòng tránh nha bà.,Phẫn nộ,False,,
cmt_showbiz_020_0439,showbiz_020,Thấy nhiều số O mà  choáng,Trung lập,False,,
cmt_showbiz_033_1438_r03,showbiz_033,Dương Quỳnh Tâm cho lên thế gian có câu lưới trời lồng lộng Tuy thưa nhưng khó lọt là không sai,Trung lập,False,,
cmt_showbiz_043_1465,showbiz_033,Lê Như Hoa 🥜 quan ghê,,True,,
cmt_showbiz_004_0036,showbiz_004,Đáng lẽ bắt lâu rồi mới phải,Phẫn nộ,False,,
cmt_showbiz020_0131_r04,showbiz_020,Trần Ngọc Hiền đọc kiểu gì ra triệu vậy 😅😅😅,,True,,
cmt_showbiz024_0004_r04,showbiz_024,Cương Ngọc Nguyễn nổi tiếng luôn mà bạn,,True,,
cmt_showbiz_033_1942_r59,showbiz_033,Dõan Đại Hiệp ô nói vậy bọn hắn bỏ nghề hết giờ 😬,Trung lập,False,,
cmt_showbiz_006_0040,showbiz_006,". tệ bạc quá cổ  mới ko cho gặp con ,còn đòi kiện ngược .Vãi cô nương",Trung lập,False,,
cmt_showbiz_044_2035,showbiz_034,,,True,,
cmt_showbiz_044_1774,showbiz_034,Chúc mừng shark,Trung lập,False,,
cmt_showbiz_019_0002,showbiz_019,"Chả có đâu, bán thực phẩm chức năng thì giàu rất nhanh, vì phải dùng thường xuyên mà hết thì phải mua nhu cầu thì rất lớn, ở Việt Nam chạy quảng cáo về mấy cái này rất nhiều với đa dạng, chủ yếu là chúng nó chế ra hay làm giả một cái sản phẩm nào đó, rồi thuê nghệ sỹ, koL Pr như thần dược dùng 2-5 ngày thôi đã khỏe hay giảm cân, rồi lên bài chạy chủ yếu là FB,Yt.Bán chán chê một thời gian người dùng hầu như hoặc tất cả chả có tác dụng gì( nếu có thì ai mua nữa) sau đó chúng sẽ dừng quảng cáo lại. Rồi kiếm sản phẩm khác rồi bán y chang cái cũ người mua cứ vướng vào cái vòng luẩn quẩn ấy",,True,,
cmt_showbiz_004_0235,showbiz_004,Tử hình là chinh xác,Phẫn nộ,False,,
cmt_showbiz_043_0787,showbiz_033,Không ai cho không ai cái gì đâu,Trung lập,False,,
cmt_showbiz_020_0879,showbiz_020,2700 tỉ chỉ là nhỏ thôi. 1 căn nhà ở Trụ Tâm Sài Gòn cả vài trăm tỉ 1 căn rồi. mình tiền đất bả mua cả 10k tỉ,Trung lập,False,,
cmt_showbiz_020_2429,showbiz_020,Chỉ có những người có tiền mới vào tham mỹ viện Mailysa thôi nông thôn làm gì có tiền mà vào đó,Trung lập,False,,
cmt_showbiz_020_0293,showbiz_020,Nuôi mập  rồi,Trung lập,False,,
cmt_showbiz011_0046_r04,showbiz_011,Vi Thuy Linh ảnh hỏi thì Pháo trả lời chứ hồi trách Pháo lôi chuyện tiền bạc. Mệt l với nó thiệt chớ,Phẫn nộ,False,,
cmt_showbiz_044_0286,showbiz_034,Giàu quá mà đi lừa đi lùa nên nghiệp quật thôi 😄,Trung lập,False,,
cmt_showbiz_005_0045,showbiz_005,Giống mẹ kinh,Trung lập,False,,
cmt_showbiz_004_0090,showbiz_004,"Vụ bão lũ ngập lụt ko biết giải quyết, thì p chọn ra vài đứa để thí điểm, đánh lạc dư luận. Cũng có cái tài ✌️👍😁",Cà khịa,False,,
cmt_showbiz_033_1940_r18,showbiz_033,Tuyền Văn Hóa top một server KOL_KOC việt nam,Trung lập,False,,
cmt_showbiz_020_1109,showbiz_020,Mình làm cách đây mấy năm rồi về mặt sưng như ong chích giờ đâu còn hoá đoen,Trung lập,False,,
cmt_showbiz023_0004_r16,showbiz_023,"Hoàng Lylàm gì biết, yêu nhau chắc đi thông báo với hàng xóm. Nghĩ từ mình là biết chứ gì, t với ck t lúc yêu nhau cũng đâu báo hàng xóm",Trung lập,False,,
cmt_showbiz018_0001_r19,showbiz_018,Inside the Box Ê t ko có khen chúc mừng nha ghét vcl ko fl ko gì hết mà hiện quài ghét vc,Cà khịa,False,,
cmt_showbiz020_2833_r01,showbiz_020,Thi Mao VU chuẩn,,True,,
cmt_showbiz004_0005_r01,showbiz_004,Dương Quỳnh Tâm đúng bài phải điều tra cả,Cà khịa,False,,
cmt_showbiz_008_0293,showbiz_008,Ko ăn thua.muỗi đốt inox,,True,,
cmt_showbiz_033_1940_r131,showbiz_033,Dương Nguyễn Huy Thủy hôm qua hôm nay mà,,True,,
cmt_showbiz004_0001_r12,showbiz_004,"J.ul ngu cũng phải biết trong thuốc giảm cân có chất cấm thì mới giảm được cân, biết bao nhiêu vụ rồi. Ngu, lừoi tập mà thích gầy đẹp thì chịu thôi",Trung lập,False,,
cmt_showbiz009_0027_r11,showbiz_009,Ngô Khánh Huyền ruồi mà có con một lằn vẫn quan tâm vào chửi. Còn mặt thì xấuvcccc vẫn nghĩ mình xinh thì bó tay,Cà khịa,False,,
cmt_showbiz012_0011_r02,showbiz_012,"Nguyễn Tuấn thì đó, thoát dc đâu😜",Cà khịa,False,,
cmt_showbiz_004_0037,showbiz_004,"Giàu mà giàu thật thì khoe, giàu mà kiểu lừa dối mà hô hào 10 người hết 10 người bóc lịch 😂. Đảng và nhà nước Việt Nam muôn năm 🥰",Cà khịa,False,,
cmt_showbiz_043_0786,showbiz_033,Đó là thần thái,Trung lập,False,,
cmt_showbiz_019_0243,showbiz_019,Sau này bán sản phẩm hay quảng cáo nữa ai mà tin ai mà mua. Làm tôi mua het mấy chai kẹo,,True,,
cmt_showbiz_020_3633,showbiz_020,"K có tiền mà xây thôi có xây tất lang mộ xanh sạch đẹp tô tiên phụ hộ có gì đâu,còn làm việc sai trái có pháp luật.",Trung lập,False,,
cmt_showbiz_018_0162,showbiz_018,Giỡn mặt tao hả🙂🤣🤣,Trung lập,False,,
cmt_showbiz_043_0081,showbiz_033,Đùa t à:)),Trung lập,False,,
cmt_showbiz_011_0246,showbiz_011,Wtf báo lại đăng hana lên,,True,,
cmt_showbiz_020_2827,showbiz_020,"Dậu đổ bìm leo, ăn cứt luôn",Trung lập,False,,
cmt_showbiz_004_0023,showbiz_004,Cá mập lẹ quá thì thít sớm thôi .. thể chế nầy là vậy !!!,Cà khịa,False,,
cmt_showbiz_034_1793_r01,showbiz_034,"Hix,",Trung lập,False,,
cmt_showbiz_011_0223,showbiz_011,Anh giỏi thề thế,Cà khịa,False,,
cmt_showbiz_020_0909,showbiz_020,Rồi Mai Đi Xa luôn,,True,,
cmt_showbiz_033_0001_r101,showbiz_033,Hùng Mộc có tiền năm điều hòa em ak,,True,,
cmt_showbiz_020_1779,showbiz_020,Lên thớt🔪,,True,,
cmt_showbiz_011_0082,showbiz_011,Cái bệnh dịch đang nhiễm vào một bộ phận giới trẻ … khó tìm ra thuốc chữa,Phẫn nộ,False,,
cmt_showbiz004_0005_r13,showbiz_004,Dương Quỳnh Tâm càng lam vậy C.A ng ta càng ghét càng làm thẳng tay k nhượng bộ cúng k đc giảm án luôn,Trung lập,False,,
cmt_showbiz_004_0120,showbiz_004,"Đó là chiêu trò của tụi việt cộng từ xưa tới giờ. Có gì mới đâu, đó là cái giá phải trả của tụi ngu dốt với bưng bô.",Phẫn nộ,False,,
cmt_showbiz015_0001_r04,showbiz_015,Văn Hoàng tầm này lọc fan group ok này 😂,Trung lập,False,,
cmt_showbiz004_0005_r25,showbiz_004,"Á Tiên 🔥mới semm vjd Iời khaii của N98. 'CAM của mấy Chú CA đỉnh. Tí thì k nhận ra N98 luôn á 😂 semm bênn ➡️  Hóng Hớt Đường Phố

😅",Cà khịa,False,,
cmt_showbiz_007_0259,showbiz_007,Quan trọng là “Jack bỏ con” chứ kh qtam “Jack bắt cá”,Trung lập,False,,
cmt_showbiz020_1001_r20,showbiz_020,Phan Tuan công nhận chuẩn,,True,,
cmt_showbiz_011_0233,showbiz_011,cho mình hỏi cái thg quần què này lm gì mà mn thích nó z🤣,Cà khịa,False,,
cmt_showbiz_033_0058_r21,showbiz_033,Hông Trương nói chung. Sai đã có pháp luật.   Còn việc ng ta từ thiện là tốt. Là đúng b ê.,Trung lập,False,,
cmt_showbiz_020_2452,showbiz_020,Mạng xã hội là cái thứ nhanh g.i.ế.t chết 1 con người. Sẵn sàng tung hô và hạ bệ những người mà mình chưa bao giờ tiếp xúc. Thấy sợ thật,Trung lập,False,,
cmt_showbiz009_0035_r22,showbiz_009,Hiền Văn Đoàn cái chóa j cũng lôi a t dô :),,True,,
cmt_showbiz_018_0051,showbiz_018,ủa thiệt hả,,True,,
cmt_showbiz004_0001_r11,showbiz_004,Trang Trang  cảm on bn😅,Cà khịa,False,,
cmt_showbiz_011_0144,showbiz_011,Mẹ tôi tên linh anh💀☠️,,True,,
cmt_showbiz_044_1707,showbiz_034,nhất lé nhì lùn các cụ nc k sai,Trung lập,False,,
cmt_showbiz020_2829_r15,showbiz_020,Mèo Nghếch báo hiếu là một văn hóa một đạo lý ngàn đời của người Việt nhưng làm như nào lại là một vấn đề phải biết bố thích gì làm gì khi còn sống đâu cứ phải là xây lăng mộ to đã là tốt,Trung lập,False,,
cmt_showbiz016_0002_r16,showbiz_016,"Đặng Hưng xàm lz à, anti thì cũng có não chứ, cái này sử dụng thì cũng chỉ phạt hành chính, chưa có chế tài cụ thể đòi án điểm",Trung lập,False,,
cmt_showbiz_020_0733,showbiz_020,giau trên cac loai giau,Trung lập,False,,
cmt_showbiz032_0009_r01,showbiz_032,Solucky Nguyen cháu ở ngoài cũng đep bạn a,,True,,
cmt_showbiz019_0001_r02,showbiz_019,Bí Mật Showbiz cbi lấy vụ thèn ck cũ Tôn Bằng đánh chửi rồi tẩy trắng vụ này k,Phẫn nộ,False,,
cmt_showbiz_020_0972,showbiz_020,Này ko tâu  hết cho người khó  .để Này ko biết đi đâu nhỉ,Trung lập,False,,
cmt_showbiz005_0003_r32,showbiz_005,Mie Victorya m thỳ đẹp lắm :)),,True,,
cmt_showbiz_020_2584,showbiz_020,Hồng Hạnh còn xin ứng tuyển ko,,True,,
cmt_showbiz_012_0183,showbiz_012,". . .  KHÔNG PHẢI MỘT MÌNH TÔI. 

- DOANH NGHIỆP NÀO Ở VIỆT NAM Trước đây,  và hiện nay (  Muốn GIÀU NHANH  )  CŨNG  Đã từng và Đang làm NHƯ TÔI  MÀ THÔI  :",Trung lập,False,,
cmt_showbiz_033_1848_r02,showbiz_033,"Nguyễn Thị Thu Phương từ qua giờ mấy ng nhắn chị ""chị gái ruột bị bắt rồi kìa""🤣",Trung lập,False,,
cmt_showbiz005_0003_r05,showbiz_005,Mie Victorya coi chừng bị cắn 🤣,,True,,
cmt_showbiz020_2468_r01,showbiz_020,Huỳnh Mỹ Trà tha :))) hên ch làm,,True,,
cmt_showbiz_011_0247,showbiz_011,Jack hơn vr đứa con. 😄,Cà khịa,False,,
cmt_showbiz019_0028_r03,showbiz_019,Hậu Quốc Nguyễn mình xin video đc ko ạ,,True,,
cmt_showbiz018_0022_r07,showbiz_018,Phương Nhi tu tập là nằm trong nhà tu =))),Trung lập,False,,
cmt_showbiz_018_0040,showbiz_018,"Ông dừng ở chỗ ""Ac dừng lại rồi"" là được rồi mà, lại còn ""kì lứm"" là sao cha",,True,,
cmt_showbiz009_0003_r02,showbiz_009,My My Nguyen ê nha haha,,True,,
cmt_showbiz_019_0222,showbiz_019,"phẻ, thế là có người hứng đạn giùm, tổ chức A nào đó k làm tròn vai trò quản lý, kiểm định sản phẩm để nó chui lọt tới bước bày bán công khai. K có livestream chắc tổ chức A vẫn sáng tới vp bấm dt, chiều về 🥴",Trung lập,False,,
cmt_showbiz_044_0910,showbiz_034,Hiền Thư tiền số này phải ki c,,True,,
cmt_showbiz_034_1032_r01,showbiz_034,Đức Đỗ Tĩnh q b  sớm  b,,True,,
cmt_showbiz_044_1107,showbiz_034,Nhìn ánh mắt của shark trông tù tội lắm:)),Trung lập,False,,
cmt_showbiz004_0001_r06,showbiz_004,Diên Vĩ thật chả hiểu sao có đứa n bênh đc cũng hay. Bị bắt còng cả tay cả chân vẫn cứ là thương chảy nc mắt buồn cười thế 🤣,Cà khịa,False,,
cmt_showbiz_044_0040,showbiz_034,giết hết đi cho người khác ko giám làm nữa,Phẫn nộ,False,,
cmt_showbiz_033_1946_r49,showbiz_033,Thuỷ Nguyễn kkkkkk,,True,,
cmt_showbiz_033_0001_r26,showbiz_033,Nguyễn Việt Tùng Nó vào tù thực ra là để trốn nợ thôi vì bị các con nợ đe dọa vào tù vẫn là an toàn nhất.,Cà khịa,False,,
cmt_showbiz_021_0209,showbiz_021,"Phãi chi bác của các bạn còn thì đỡ chờ các em biết bao nhiêu, nhưng hạt giống thì còn đó... Nông Đút Mạnh",Trung lập,False,,
cmt_showbiz_020_3225,showbiz_020,"Thành phần k có tiền,k bằng họ luôn đi soi mói.",Trung lập,False,,
cmt_showbiz020_0132_r21,showbiz_020,Tâm An 2k7 được rồi,,True,,
cmt_showbiz_033_1437_r25,showbiz_033,Hường Nguyễn Thị trời cô ơi,,True,,
cmt_showbiz_033_1940_r477,showbiz_033,Phuong Nguyen mẹ cho bố xem nè mẹ,,True,,
cmt_showbiz_033_0002_r03,showbiz_033,Hayr Mai tham ô lừa đảo như thằng quyết còi kia đóng đủ tiền còn dc về nói gì trốn ít tiền thuế?,Phẫn nộ,False,,
cmt_showbiz_033_0003_r23,showbiz_033,Trung ÊTô biết cái đéo gì đâu cũng cách mạng màu,Trung lập,False,,
cmt_showbiz_033_1940_r153,showbiz_033,Tuyền Văn Hóa hoàng hường giàu thật.,,True,,
cmt_showbiz_033_0001_r71,showbiz_033,"Hồng Chill đấy là cải tạo má ạ có tiền thì sướng đt dùng toé loe, chứ má đi toò mà đk dùng đt hả ra kaangteen nạp tiền mà gọi về cho ng nhà tiếp tế nhé 🥴",Cà khịa,False,,
cmt_showbiz018_0042_r02,showbiz_018,"Thiên Thanh thay vì cmt dài vậy thì cmt “tôi bị ngu” là được nhé t theo dõi đôi này cũng 5-6 năm rồi và t đ nói sai chữ nào cả nếu cảm thấy đọc hiểu tiếng Việt khó quá thì nên chuyển qua học tiếng Trung đi, nó k giúp m bớt chậm hiểu đâu nhưng ít ra m cmt bằng tiếng Trung trông sẽ nguy hiểm hơn đấy. Thân ái.",Trung lập,False,,
cmt_showbiz_043_0121,showbiz_033,Vì nó lừa được nhiều người nên nghĩ trên cơ,Trung lập,False,,
cmt_showbiz_008_0226,showbiz_008,Thiếu chữ “tổ” rồi sốp ơi.,Trung lập,False,,
cmt_showbiz020_2626_r02,showbiz_020,"Quang Hiển  Ôi zời bên đấy chết nhiều vậy à, bên nghệ an vẫn rộng mênh mông",Trung lập,False,,
cmt_showbiz_020_3035,showbiz_020,"Xấu tánh lại ganh tị,kg sợ xh họ cười khinh cho",Trung lập,False,,
cmt_showbiz019_0180_r10,showbiz_019,Đinh Quang Khánh Quảng cáo lố là xảy ra trước khi bị lộ. Sau khi đội kia lộ bị b.ắt thì e này tính ve sầu thoát xác bằng bản hđ quảnh cáo thay vì để thông tin góp vốn. Nó là 2 vấn đề-2 động cơ ở 2 khía cạnh khác nhau mà bác. Giống như là cướ.p của rồi-sợ bị lộ nên g.iết người b.ịt đầu mối ấy. Thì nó phải là 2 tội chứ?,,True,,
cmt_showbiz014_0003_r03,showbiz_014,Hương Trà kkk không kịp hả :v,,True,,
cmt_showbiz_034_0005_r05,showbiz_034,Ly Ngo  900 tỷ sao mà giàu vậy ! Giàu thế có đc hưởng đâu nhỉ ? Sao ko  đem đi làm từ thiện bớt  cho ng nghèo,Phẫn nộ,False,,
cmt_showbiz_020_2134,showbiz_020,Hương Hươngg,,True,,
cmt_showbiz020_2832_r07,showbiz_020,Tran Minh Chau vô văn hóa,,True,,
cmt_showbiz_018_0004,showbiz_018,Dị ứng vs mấy video của cặp này lâu r hêh =))))))))))),Cà khịa,False,,
cmt_showbiz_021_0250,showbiz_021,"LỜI KHAI CỦA Á KHÔI CUỘC THI SẮC ĐẸP KIÊM MÔI GIỚI MẠI D*M TẠI HÀ NỘI: “ĐI CHƠI” ĐƯỢC HIỂU LÀ BÁN D*M 😳

https://www.facebook.com/vietnamnet.vn/posts/pfbid0oFFthhtSoWTFJfcUZRvbeAn8XGmHJQydYgjs7t5m82vhgpfGZQpTvqbWijZgGgGRl",,True,,
cmt_showbiz_020_3546,showbiz_020,Ngta có tiền ngta xây mộ bố ngta hoành tráng kệ ngta,Trung lập,False,,
cmt_showbiz021_0003_r05,showbiz_021,"Hoàng Nghiêm Đây là môi giới thì chắc gì bọn nó đã là á hậu các kiểu, có khi chất lượng thật k bằng quán hát chứ =))",Cà khịa,False,,
